State,Year,Gross_Enrollment_Primary,Gross_Enrollment_Secondary,Gross_Enrollment_Higher,Literacy_Rate_Youth,Literacy_Rate_Adult,Dropout_Rate_Primary,Dropout_Rate_Secondary,Education_Expenditure_GDP
Gujarat,2015,81.31,53.91,45.53,90.57,67.29,5.06,28.28,7.02
Gujarat,2015,74.35,54.64,55.06,68.93,90.45,14.91,14.16,5.00
Gujarat,2015,96.82,52.59,25.99,90.66,83.07,3.73,17.55,6.79
Gujarat,2015,71.59,85.20,55.03,75.72,84.60,12.17,28.35,4.52
Gujarat,2016,85.76,90.07,15.21,74.59,75.84,4.32,27.70,6.06
Gujarat,2016,83.53,75.14,15.18,77.43,56.66,10.97,16.98,4.16
Gujarat,2016,97.75,52.43,71.25,82.39,79.71,5.93,29.17,4.05
Gujarat,2016,96.43,74.13,79.37,88.85,60.02,7.27,13.36,4.39
Gujarat,2016,71.14,89.49,34.29,98.90,95.80,14.23,25.28,3.71
Gujarat,2016,77.79,77.49,17.65,97.96,94.10,6.95,17.89,5.06
Gujarat,2016,78.34,70.11,42.88,97.62,58.41,3.16,27.02,7.43
Gujarat,2016,89.79,75.35,19.51,85.26,50.65,6.22,28.31,4.17
Gujarat,2016,79.44,78.28,64.51,82.05,92.34,2.52,28.05,3.58
Gujarat,2016,94.98,80.22,26.44,96.21,61.78,5.17,25.35,3.08
Gujarat,2017,94.91,56.64,50.60,89.18,91.31,14.16,24.62,6.09
Gujarat,2017,91.29,94.67,62.89,65.57,73.82,9.99,22.24,6.46
Gujarat,2017,98.27,81.35,30.39,75.96,,13.54,15.13,2.71
Gujarat,2017,88.87,76.29,56.20,89.39,50.91,3.37,13.99,3.35
Gujarat,2017,94.46,83.87,68.11,87.64,85.30,5.53,29.83,3.51
Gujarat,2017,99.26,94.47,66.67,86.39,74.96,14.62,22.39,7.70
Gujarat,2017,95.64,56.74,76.49,82.25,94.47,6.38,22.90,5.16
Gujarat,2017,99.01,81.14,31.34,95.93,64.11,6.83,7.55,7.45
Gujarat,2017,97.61,86.25,24.17,91.16,93.83,3.02,25.63,5.51
Gujarat,2017,90.93,51.53,64.58,66.13,71.85,3.96,25.59,4.23
Gujarat,2018,93.18,71.65,66.28,67.50,,9.17,28.68,2.91
Gujarat,2018,89.23,67.95,68.66,67.45,59.43,5.90,20.67,6.27
Gujarat,2018,80.23,82.09,49.07,72.57,90.62,12.64,14.90,5.74
Gujarat,2018,79.27,87.98,29.13,65.50,62.89,4.48,17.71,3.62
Gujarat,2018,91.21,76.03,79.11,99.00,91.74,,14.66,6.64
Gujarat,2018,86.14,59.81,51.26,80.86,77.64,9.16,29.00,5.54
Gujarat,2018,83.14,71.17,33.12,77.91,78.73,9.54,20.91,4.43
Gujarat,2018,73.99,61.39,17.74,67.47,61.68,2.25,11.14,6.10
Gujarat,2018,97.39,85.61,34.85,96.44,65.82,2.94,29.85,7.29
Gujarat,2018,90.14,58.75,28.00,80.97,93.76,2.13,24.56,2.82
Gujarat,2019,90.60,52.63,42.21,84.85,53.17,3.76,21.59,5.37
Gujarat,2019,97.38,50.70,56.77,67.50,50.31,3.96,15.57,6.91
Gujarat,2019,82.33,60.54,48.43,92.11,89.96,13.00,13.46,6.86
Gujarat,2019,98.45,50.62,43.62,87.02,83.69,,29.30,5.88
Gujarat,2019,93.50,53.59,24.17,84.54,78.97,10.93,14.84,6.76
Gujarat,2019,91.09,91.78,59.61,88.16,60.74,8.96,19.06,6.35
Gujarat,2019,71.96,53.51,63.29,69.64,79.88,6.22,16.43,3.69
Gujarat,2019,98.34,75.86,23.05,70.81,97.48,11.43,6.23,6.37
Gujarat,2019,74.62,87.80,19.15,74.85,64.71,4.09,17.70,2.56
Gujarat,2019,79.32,66.22,45.76,84.10,88.82,4.47,26.79,6.67
Gujarat,2020,70.65,76.73,71.10,84.87,60.24,,22.49,6.47
Gujarat,2020,82.25,76.22,60.89,92.54,79.31,3.44,22.06,7.91
Gujarat,2020,79.07,83.79,70.32,88.06,62.03,14.40,16.27,3.21
Gujarat,2020,83.13,54.25,63.12,92.18,84.82,4.63,22.24,2.56
Gujarat,2020,95.06,67.57,15.73,76.98,73.95,14.34,28.53,3.49
Gujarat,2020,93.67,50.27,23.27,83.29,61.88,3.20,14.00,4.01
Gujarat,2020,73.73,66.77,75.58,94.81,68.93,11.09,7.20,6.42
Gujarat,2020,84.95,58.43,56.20,85.07,81.29,2.34,18.72,5.77
Gujarat,2020,78.29,82.03,54.41,93.76,64.19,13.86,23.59,4.67
Gujarat,2020,98.70,63.97,36.44,71.45,88.73,5.58,13.26,4.78
Gujarat,2021,85.11,86.65,68.25,92.14,54.85,12.40,8.01,3.19
Gujarat,2021,86.57,89.37,79.31,85.76,79.42,11.81,10.80,3.42
Gujarat,2021,74.05,64.17,38.31,97.82,83.50,8.90,29.22,7.47
Gujarat,2021,82.13,60.37,30.12,87.52,74.05,10.57,22.15,2.62
Gujarat,2021,75.73,78.46,50.89,84.92,64.52,10.32,25.74,7.99
Gujarat,2021,75.80,80.67,75.95,72.20,62.29,3.94,23.42,4.74
Gujarat,2021,86.73,64.90,37.36,74.87,71.86,6.38,18.70,6.75
Gujarat,2021,85.86,87.81,19.43,67.66,76.70,10.31,10.29,6.60
Gujarat,2021,75.07,83.81,20.44,84.22,76.49,7.05,26.11,2.52
Gujarat,2021,92.30,51.94,69.05,93.50,89.98,3.98,20.76,2.58
Gujarat,2022,85.93,82.88,21.13,82.97,63.98,14.64,26.43,6.53
Gujarat,2022,97.03,64.64,62.63,90.04,50.88,6.69,5.49,7.98
Gujarat,2022,93.72,59.06,46.53,85.65,57.69,12.12,12.48,3.66
Gujarat,2022,97.61,89.60,46.42,77.21,65.62,5.48,18.61,6.93
Gujarat,2022,84.26,53.11,60.58,82.62,73.83,5.91,27.62,3.00
Gujarat,2022,96.42,82.79,21.77,93.27,82.74,2.42,8.34,6.00
Gujarat,2022,91.61,79.68,64.81,84.55,62.52,13.86,5.46,4.52
Gujarat,2022,70.75,52.97,57.16,97.81,,8.59,12.96,3.91
Gujarat,2022,83.47,58.91,20.68,89.40,92.94,14.18,20.45,2.79
Gujarat,2022,90.09,85.07,62.18,97.36,85.43,11.01,11.54,7.59
Gujarat,2023,79.38,55.86,68.73,65.08,89.94,5.41,27.12,6.30
Gujarat,2023,71.78,87.35,26.11,77.66,78.82,8.27,9.97,3.27
Gujarat,2023,70.95,93.97,27.90,68.75,,3.04,20.06,7.18
Gujarat,2023,81.83,57.18,26.45,96.24,55.31,13.27,18.61,2.71
Gujarat,2023,91.79,72.00,70.90,69.09,93.68,13.00,22.71,7.00
Gujarat,2023,86.82,65.99,51.98,73.75,71.13,5.65,8.07,4.27
Gujarat,2023,92.44,57.88,42.59,68.91,56.65,10.03,20.19,3.67
Gujarat,2023,75.23,50.86,57.38,66.82,97.04,9.93,16.76,4.86
Gujarat,2023,97.90,78.15,26.96,84.13,56.40,2.23,20.76,6.07
Gujarat,2023,88.10,52.54,54.60,83.84,81.45,13.64,26.26,7.89
Haryana,2000,80.68,56.78,37.15,66.00,74.12,13.66,24.88,2.66
Haryana,2000,75.73,83.86,35.99,73.61,57.74,8.33,7.33,6.82
Haryana,2000,70.06,86.80,47.03,79.96,86.55,2.82,14.17,5.67
Haryana,2000,78.98,63.51,79.48,76.09,59.85,12.69,15.53,4.94
Haryana,2000,87.72,51.55,68.22,71.62,64.03,4.25,24.18,5.71
Haryana,2000,73.12,63.57,47.97,75.37,59.95,13.31,23.69,4.40
Haryana,2000,70.11,67.11,33.88,72.41,62.08,14.25,17.16,7.16
Haryana,2000,96.66,72.31,73.18,67.14,93.99,7.40,8.88,6.26
Haryana,2000,99.62,81.37,35.89,70.14,68.84,4.87,17.35,6.80
Haryana,2000,73.57,93.07,32.57,74.45,80.98,12.02,29.60,7.83
Haryana,2001,75.00,76.30,16.12,71.67,50.12,4.35,16.87,4.66
Haryana,2001,90.25,92.14,43.95,74.26,55.89,10.74,26.04,3.51
Haryana,2001,74.32,78.93,48.80,65.96,69.16,12.20,18.89,4.05
Haryana,2001,77.58,65.96,73.14,82.26,82.74,14.69,24.58,3.45
Haryana,2001,76.98,64.64,61.16,73.11,59.99,11.15,27.01,2.91
Haryana,2001,90.29,94.83,59.37,86.09,97.51,2.79,6.86,5.58
Haryana,2001,79.19,80.35,72.24,68.21,75.93,5.85,21.68,5.52
Haryana,2001,84.10,58.67,49.89,94.02,,7.18,25.29,4.04
Haryana,2001,73.58,50.79,38.00,77.90,53.71,12.58,15.14,5.19
Haryana,2001,93.00,90.78,78.08,79.51,97.52,5.83,5.17,6.72
Haryana,2002,97.72,85.63,21.67,91.41,90.51,13.77,18.59,6.37
Haryana,2002,89.41,74.64,46.15,98.87,66.20,3.15,24.13,3.68
Haryana,2002,88.58,92.48,61.98,72.29,96.61,5.99,15.92,5.24
Haryana,2002,90.90,66.29,20.09,96.79,78.31,11.80,11.01,6.69
Haryana,2002,87.16,93.73,70.04,80.12,81.90,12.20,5.61,5.74
Haryana,2002,94.97,54.78,79.61,85.72,60.70,10.77,26.41,3.12
Haryana,2002,70.40,90.51,76.54,66.28,64.12,6.85,13.72,6.67
Haryana,2002,99.85,64.26,48.07,83.96,77.81,6.86,9.15,2.80
Haryana,2002,78.41,53.46,55.53,67.56,53.36,10.08,19.78,2.73
Haryana,2002,86.40,83.20,33.38,79.71,88.05,13.99,27.28,5.13
Haryana,2003,96.06,87.80,35.25,70.54,68.19,5.75,28.77,3.96
Haryana,2003,72.59,61.71,43.54,85.23,65.73,8.45,9.97,5.66
Haryana,2003,82.47,69.97,53.49,69.19,57.53,12.27,11.84,6.27
Haryana,2003,99.65,66.82,47.86,80.05,92.92,2.13,21.34,6.09
Haryana,2003,77.19,86.02,19.30,84.17,64.73,5.45,17.64,7.44
Haryana,2003,88.02,81.40,43.11,96.48,74.09,9.17,18.12,4.24
Haryana,2003,91.55,63.02,40.30,96.28,77.19,3.26,24.99,3.91
Haryana,2003,77.14,55.21,28.73,68.31,63.23,14.96,15.05,7.25
Haryana,2003,74.69,62.37,48.18,94.96,52.06,8.59,6.28,5.01
Haryana,2003,74.16,57.50,45.55,98.93,67.09,7.56,15.81,2.94
Haryana,2004,91.11,71.38,54.77,66.84,92.72,5.17,21.75,6.89
Haryana,2004,99.34,62.53,76.66,70.31,68.68,3.80,5.06,3.93
Haryana,2004,92.85,50.17,29.54,87.78,69.13,12.81,17.62,6.10
Haryana,2004,76.90,66.80,18.29,84.98,72.04,11.89,10.16,4.90
Haryana,2004,95.44,84.44,76.37,98.04,87.06,5.73,10.48,4.96
Haryana,2004,75.97,92.50,40.08,88.49,87.83,12.96,25.53,7.10
Haryana,2004,90.02,87.65,37.79,75.08,66.50,9.17,6.31,6.78
Haryana,2004,75.93,75.96,33.56,77.52,94.72,13.01,26.30,5.68
Haryana,2004,98.60,52.90,16.87,70.95,94.60,9.87,15.65,5.32
Haryana,2004,91.89,84.19,35.82,80.88,,12.22,22.11,2.86
Haryana,2005,87.44,74.14,76.27,88.62,64.11,4.10,26.24,5.03
Haryana,2005,73.22,52.57,39.51,77.29,82.34,10.22,29.22,7.22
Haryana,2005,90.22,55.13,79.99,82.64,93.68,14.58,19.54,3.07
Haryana,2005,93.68,52.17,45.31,96.37,97.58,4.49,26.76,3.30
Haryana,2005,98.79,81.30,40.94,74.55,61.29,10.85,27.39,6.65
Haryana,2005,99.37,84.10,28.66,91.91,65.46,14.95,14.42,4.11
Haryana,2005,73.28,92.91,34.13,75.04,52.21,5.20,15.47,4.53
Haryana,2005,79.02,85.02,43.52,74.89,64.63,9.21,12.56,5.97
Haryana,2005,75.06,58.06,44.06,66.41,72.92,14.08,5.29,4.51
Haryana,2005,72.33,78.39,15.65,92.26,53.21,8.82,23.50,3.83
Haryana,2006,95.64,81.76,27.88,89.35,84.01,14.97,14.79,7.26
Haryana,2006,72.75,57.89,70.25,92.86,,9.76,14.57,2.56
Haryana,2006,87.82,62.57,24.36,97.00,55.82,10.76,27.35,3.40
Haryana,2006,85.25,73.45,51.05,97.30,52.58,11.89,10.81,4.56
Haryana,2006,94.13,54.44,32.91,77.68,54.99,11.91,24.67,7.10
Haryana,2006,77.88,79.48,43.90,98.01,96.47,13.77,14.00,4.52
Haryana,2006,91.13,62.58,69.17,84.70,71.45,13.25,14.86,6.10
Haryana,2006,71.22,70.75,51.17,81.75,90.68,6.04,27.10,4.72
Haryana,2006,76.00,84.25,15.80,97.93,59.15,13.72,17.90,5.61
Haryana,2006,74.69,73.67,50.80,89.13,92.16,8.09,10.83,4.33
Haryana,2007,88.82,50.59,30.97,85.11,71.91,8.42,21.51,3.79
Haryana,2007,86.15,50.66,58.57,86.08,53.77,11.72,18.05,3.63
Haryana,2007,97.60,83.40,34.63,69.02,90.95,13.00,9.38,2.84
Haryana,2007,75.31,80.07,33.13,73.86,65.58,8.77,25.11,5.24
Haryana,2007,71.65,85.87,65.98,73.62,59.52,13.37,18.97,2.75
Haryana,2007,80.26,78.95,57.99,77.01,56.88,9.18,20.63,7.23
Haryana,2007,71.63,90.25,36.27,86.50,93.97,12.54,20.94,6.37
Haryana,2007,88.30,79.64,24.57,80.99,,7.62,21.56,3.32
Haryana,2007,79.67,68.92,75.53,89.04,65.72,4.33,20.46,6.12
Haryana,2007,70.86,61.95,44.72,91.79,90.98,7.37,24.90,7.96
Haryana,2008,97.29,65.22,15.73,98.56,73.54,12.21,25.31,4.69
Haryana,2008,76.61,55.29,50.33,69.08,66.61,4.42,22.67,7.30
Haryana,2008,99.90,50.95,34.78,74.47,67.10,5.00,11.61,3.92
Haryana,2008,89.18,73.15,26.92,92.54,72.67,3.99,9.17,6.88
Haryana,2008,79.18,70.72,56.37,94.90,76.68,5.60,6.07,3.47
Haryana,2008,84.45,81.45,35.03,87.75,77.89,7.71,27.43,6.31
Haryana,2008,92.14,85.63,56.66,77.90,66.73,10.50,8.27,7.01
Haryana,2008,84.97,73.37,62.97,86.31,62.01,2.96,26.01,7.37
Haryana,2008,78.47,92.19,28.31,70.66,58.73,11.49,27.20,4.66
Haryana,2008,76.30,52.89,72.61,94.61,96.84,8.16,12.35,6.73
Haryana,2009,77.67,92.82,62.44,69.55,54.46,12.96,25.06,6.19
Haryana,2009,88.08,91.95,26.01,82.53,57.57,7.77,10.00,7.10
Haryana,2009,82.23,88.98,64.26,66.96,53.22,9.17,15.69,4.02
Haryana,2009,99.22,51.08,22.68,75.58,,4.81,23.41,4.47
Haryana,2009,98.32,77.84,67.42,69.12,,6.23,29.02,5.32
Haryana,2009,70.23,60.70,44.56,76.00,51.57,3.51,18.77,6.33
Haryana,2009,74.90,55.49,69.56,76.53,70.75,,15.60,2.52
Haryana,2009,89.87,64.53,45.58,83.61,69.61,12.07,28.27,2.98
Haryana,2009,72.41,93.01,46.80,70.19,77.36,,16.61,5.94
Haryana,2009,76.42,54.33,21.31,97.16,94.93,11.74,21.08,7.16
Haryana,2010,79.51,87.46,45.70,82.12,61.00,10.43,27.20,4.31
Haryana,2010,93.78,71.37,37.07,79.28,54.38,13.26,28.95,5.13
Haryana,2010,83.57,61.35,17.50,95.25,88.24,12.78,16.00,6.64
Haryana,2010,95.28,94.94,73.45,91.39,85.88,10.45,26.34,5.21
Haryana,2010,97.59,65.36,65.89,74.31,95.24,10.88,19.23,6.79
Haryana,2010,97.03,52.37,22.99,93.09,95.41,6.00,5.22,4.27
Haryana,2010,71.43,59.57,73.11,70.26,86.44,6.70,21.57,2.91
Haryana,2010,95.72,75.36,17.94,92.26,52.62,14.15,10.29,5.18
Haryana,2010,84.92,68.46,17.31,94.88,88.53,10.23,19.31,6.32
Haryana,2010,78.54,79.54,54.44,86.64,92.19,5.85,23.72,5.79
Haryana,2011,95.14,64.19,46.35,81.61,79.66,13.49,9.34,5.28
Haryana,2011,97.59,50.37,22.94,89.93,62.65,11.40,25.81,3.90
Haryana,2011,76.00,62.02,71.47,91.18,50.09,13.36,6.97,6.10
Haryana,2011,92.79,71.02,53.94,79.46,53.22,11.62,25.51,2.73
Haryana,2011,88.16,76.02,60.04,97.87,68.75,9.24,22.48,5.76
Haryana,2011,89.50,76.32,28.33,82.20,92.45,13.29,23.77,6.33
Haryana,2011,73.33,86.78,33.92,91.07,89.10,13.60,23.85,5.61
Haryana,2011,75.31,55.88,26.83,96.75,57.89,11.41,9.62,7.86
Haryana,2011,82.14,86.74,29.19,93.25,81.54,4.86,6.64,6.76
Haryana,2011,73.89,77.74,59.99,87.36,65.17,13.38,24.25,5.31
Haryana,2012,98.40,90.34,30.31,73.93,97.11,5.08,28.84,6.07
Haryana,2012,84.28,87.49,36.36,75.56,94.17,3.03,18.79,5.27
Haryana,2012,81.46,56.04,46.07,85.70,83.19,9.10,14.49,3.21
Haryana,2012,97.72,59.12,41.87,89.90,83.85,14.55,9.77,2.59
Haryana,2012,86.45,90.45,59.73,69.62,55.57,13.85,17.19,7.58
Haryana,2012,96.14,68.64,64.28,81.02,61.19,5.13,14.93,3.11
Haryana,2012,98.62,76.00,41.55,73.25,59.40,10.56,26.21,4.69
Haryana,2012,71.75,65.79,62.43,88.28,52.56,,22.00,3.99
Haryana,2012,75.71,62.66,75.14,92.07,92.44,7.73,25.56,7.19
Haryana,2012,95.54,93.83,71.32,91.39,95.30,7.46,24.58,3.67
Haryana,2013,91.50,88.24,41.87,83.52,50.51,3.90,21.10,5.59
Haryana,2013,80.32,82.24,54.63,67.37,86.48,5.41,21.79,3.18
Haryana,2013,92.25,74.36,20.59,65.91,67.41,12.43,6.03,6.37
Haryana,2013,72.32,91.19,34.52,68.79,82.71,4.82,16.89,2.78
Haryana,2013,99.97,67.36,37.61,96.10,65.81,7.62,6.95,7.76
Haryana,2013,86.16,52.76,15.11,96.81,85.62,10.92,15.96,3.81
Haryana,2013,91.79,66.46,79.15,67.28,53.83,13.92,21.19,4.29
Haryana,2013,70.63,79.30,30.80,68.92,60.81,8.19,6.25,7.36
Haryana,2013,90.61,86.19,54.91,71.88,55.29,13.18,10.87,2.61
Haryana,2013,99.73,89.14,54.55,93.35,72.59,12.25,21.16,2.66
Haryana,2014,98.60,82.91,41.78,72.04,58.64,3.88,10.52,5.53
Haryana,2014,86.46,65.36,60.27,98.61,83.07,2.77,16.93,6.74
Haryana,2014,71.64,63.10,29.35,91.10,75.14,3.80,12.14,5.37
Haryana,2014,74.70,72.37,35.16,84.24,72.40,10.96,27.86,3.60
Haryana,2014,81.21,55.11,68.42,88.84,60.21,7.79,19.45,3.43
Haryana,2014,96.61,75.53,52.33,86.06,63.14,11.86,21.56,7.12
Haryana,2014,74.83,91.36,38.87,97.79,69.29,3.90,27.12,6.87
Haryana,2014,96.38,76.84,45.57,96.05,81.97,3.73,17.99,6.00
Haryana,2014,93.83,85.99,23.32,65.59,77.91,12.26,18.86,6.97
Haryana,2014,70.84,53.99,62.13,90.94,76.02,9.67,20.36,3.08
Haryana,2015,88.08,75.34,64.60,75.83,67.93,7.09,24.06,4.87
Haryana,2015,84.80,54.92,58.57,90.13,74.01,10.40,9.32,4.52
Haryana,2015,86.88,69.91,53.56,82.06,65.26,3.86,11.32,3.60
Haryana,2015,91.61,78.97,35.01,89.17,79.04,2.61,27.69,2.94
Haryana,2015,95.11,91.09,76.08,84.37,82.59,3.15,17.20,7.44
Haryana,2015,76.02,69.33,30.44,78.34,65.98,6.15,7.28,7.35
Haryana,2015,88.19,67.84,68.52,96.62,50.27,3.03,21.87,3.80
Haryana,2015,81.05,68.69,59.91,69.79,92.40,2.06,29.47,3.42
Haryana,2015,82.94,78.36,19.56,80.07,64.55,8.48,17.61,6.82
Haryana,2015,82.06,89.94,70.59,84.04,92.66,12.47,11.95,3.44
Haryana,2016,88.68,76.32,53.90,71.44,88.01,7.64,16.81,7.98
Haryana,2016,90.29,89.62,23.24,89.99,94.08,7.50,12.17,6.23
Haryana,2016,96.91,76.56,21.17,76.21,80.11,8.26,21.51,6.69
Haryana,2016,97.44,52.70,32.32,75.22,58.85,6.06,15.62,2.78
Haryana,2016,71.39,71.67,36.70,96.81,54.93,14.04,7.16,5.91
Haryana,2016,71.84,92.86,18.07,73.20,72.28,11.83,28.78,4.85
Haryana,2016,87.14,81.09,17.47,80.01,87.72,8.16,26.84,7.09
Haryana,2016,77.32,51.33,78.88,73.03,67.62,5.57,5.99,3.94
Haryana,2016,99.00,81.42,60.95,80.41,88.94,13.81,29.04,3.04
Haryana,2016,81.92,65.55,58.88,85.33,55.24,12.18,15.99,2.51
Haryana,2017,72.07,56.80,79.58,94.62,56.40,9.54,14.48,5.49
Haryana,2017,79.46,55.65,46.78,95.85,97.79,14.28,29.64,2.58
Haryana,2017,95.97,86.62,42.54,81.09,62.72,5.75,29.53,7.39
Haryana,2017,73.26,94.50,73.97,83.77,83.26,11.72,10.10,7.64
Haryana,2017,81.91,77.07,37.93,88.77,92.34,12.03,21.07,5.32
Haryana,2017,78.79,92.03,73.98,70.30,89.49,11.14,29.38,5.05
Haryana,2017,72.08,52.10,22.94,75.07,62.44,11.47,22.90,7.84
Haryana,2017,88.39,72.29,58.41,88.89,58.25,11.77,23.13,7.99
Haryana,2017,91.37,92.57,77.87,93.12,86.83,3.45,25.76,3.89
Haryana,2017,80.37,63.96,70.60,91.15,75.13,10.64,29.61,4.69
Haryana,2018,98.08,65.82,79.11,75.36,55.23,4.49,15.66,6.07
Haryana,2018,86.86,87.75,69.53,89.69,95.72,9.67,5.19,4.10
Haryana,2018,97.15,87.72,30.09,82.66,81.64,14.84,5.78,5.05
Haryana,2018,79.92,50.00,53.14,94.48,65.57,14.15,13.32,5.86
Haryana,2018,80.57,71.15,69.29,68.43,80.31,10.81,18.95,7.65
Haryana,2018,87.99,82.49,23.80,95.41,,10.33,20.39,3.64
Haryana,2018,78.15,89.69,70.62,67.17,63.88,13.56,10.92,7.98
Haryana,2018,82.51,56.13,31.59,87.95,66.18,9.85,10.14,4.97
Haryana,2018,75.94,70.77,60.04,97.81,87.90,4.10,11.82,2.93
Haryana,2018,75.99,59.61,30.00,75.22,56.03,5.61,22.21,3.80
Haryana,2019,85.00,87.89,18.84,83.44,81.23,9.70,26.94,7.27
Haryana,2019,90.12,92.86,67.30,71.00,63.40,11.93,16.79,5.51
Haryana,2019,95.68,88.84,45.44,86.31,81.68,4.47,7.81,2.61
Haryana,2019,72.57,70.96,19.92,67.90,73.47,8.61,19.50,6.11
Haryana,2019,89.31,63.71,43.69,78.37,65.80,5.10,6.96,5.28
Haryana,2019,99.28,75.06,72.79,84.38,59.12,14.67,27.13,5.09
Haryana,2019,94.18,53.11,56.47,86.76,58.76,11.16,22.64,4.43
Haryana,2019,85.69,77.82,41.83,70.09,97.91,8.91,13.41,6.43
Haryana,2019,96.31,53.19,54.37,81.25,65.27,12.74,21.41,6.68
Haryana,2019,80.34,73.90,75.69,67.83,55.22,14.92,29.28,6.74
Haryana,2020,77.72,69.47,43.04,66.23,71.75,8.24,21.64,5.34
Haryana,2020,82.29,75.72,28.18,78.38,82.94,7.35,27.67,5.88
Haryana,2020,92.94,78.95,72.54,90.50,52.96,3.46,21.24,3.81
Haryana,2020,87.31,68.70,57.01,69.88,84.71,11.06,17.86,4.03
Haryana,2020,71.78,91.34,64.90,84.88,70.97,14.48,24.38,5.44
Haryana,2020,75.87,62.30,34.05,90.15,56.72,12.11,18.08,4.62
Haryana,2020,79.53,69.33,63.04,86.28,85.90,11.27,25.38,3.61
Haryana,2020,91.55,80.50,51.80,98.86,60.43,,8.19,3.50
Haryana,2020,96.69,78.49,43.66,76.27,56.06,13.98,22.81,4.35
Haryana,2020,75.54,85.38,61.77,81.94,92.52,4.35,16.30,6.41
Haryana,2021,87.15,66.51,46.21,85.68,67.68,3.38,8.49,5.40
Haryana,2021,95.03,65.71,69.01,83.13,57.63,,21.99,2.96
Haryana,2021,79.49,65.10,55.96,71.77,51.44,6.10,25.64,4.70
Haryana,2021,92.55,71.60,20.93,72.02,59.02,8.60,5.75,4.06
Haryana,2021,91.23,67.60,78.65,97.82,88.39,14.41,10.12,6.63
Haryana,2021,81.22,63.02,77.32,72.14,86.41,10.77,12.59,5.02
Haryana,2021,99.04,82.96,70.21,67.81,68.43,6.30,19.12,3.51
Haryana,2021,73.97,55.93,17.30,90.87,65.89,4.93,24.45,3.29
Haryana,2021,87.21,74.93,25.24,71.15,77.96,2.31,26.73,4.43
Haryana,2021,96.30,78.91,44.24,84.90,68.26,8.05,13.94,4.76
Haryana,2022,71.12,57.83,31.36,95.28,79.34,14.46,13.49,4.71
Haryana,2022,85.84,75.90,52.97,91.04,,,28.70,4.82
Haryana,2022,73.70,53.37,39.27,66.80,80.00,4.47,17.85,3.07
Haryana,2022,81.59,90.98,27.07,92.67,76.20,6.28,7.11,3.44
Haryana,2022,77.11,72.31,22.01,68.36,93.57,7.95,14.04,7.72
Haryana,2022,78.19,75.43,51.30,65.55,81.39,12.25,20.40,7.28
Haryana,2022,90.92,58.49,20.92,68.28,86.88,2.37,12.24,3.21
Haryana,2022,76.16,83.77,63.77,82.78,63.24,9.62,28.34,2.78
Haryana,2022,88.95,79.30,28.41,72.35,94.55,11.83,28.36,7.06
Haryana,2022,88.89,65.84,42.65,79.48,94.95,2.90,9.83,5.84
Haryana,2023,86.76,51.56,38.59,96.24,74.00,11.45,11.73,2.64
Haryana,2023,99.71,88.10,51.01,85.70,89.56,2.26,28.79,5.42
Haryana,2023,74.57,57.44,37.99,73.98,71.09,9.85,15.91,2.81
Haryana,2023,95.53,53.33,67.65,70.90,82.61,10.60,27.75,4.26
Haryana,2023,79.95,60.46,46.60,69.97,64.25,7.01,11.93,4.98
Haryana,2023,97.55,54.54,68.51,96.68,82.96,14.95,13.38,7.07
Haryana,2023,91.14,72.93,27.28,70.91,84.24,11.26,18.27,5.26
Haryana,2023,96.14,88.46,57.96,98.91,92.87,3.89,14.98,3.23
Haryana,2023,74.67,89.62,51.99,90.46,52.17,3.22,20.52,7.11
Haryana,2023,76.03,58.78,72.29,68.85,82.93,8.94,15.54,4.92
Himachal Pradesh,2000,92.45,54.74,38.60,73.97,75.84,2.80,24.06,3.09
Himachal Pradesh,2000,71.55,79.71,75.09,86.00,84.21,12.30,10.56,5.70
Himachal Pradesh,2000,75.77,76.34,66.64,94.78,70.57,6.85,22.18,6.79
Himachal Pradesh,2000,86.00,70.00,60.88,82.15,55.36,4.16,27.55,3.75
Himachal Pradesh,2000,90.52,77.00,47.65,97.97,55.75,8.63,19.10,2.62
Himachal Pradesh,2000,84.13,89.39,56.91,91.05,88.62,10.96,23.73,6.32
Himachal Pradesh,2000,75.70,87.23,35.29,83.22,61.98,11.05,29.38,6.91
Himachal Pradesh,2000,84.69,59.22,37.62,78.82,95.34,7.53,19.65,7.57
Himachal Pradesh,2000,81.43,66.90,61.46,75.07,85.05,13.56,13.40,3.24
Himachal Pradesh,2000,86.02,78.54,41.50,96.44,69.18,6.00,27.14,3.25
Himachal Pradesh,2001,76.27,56.68,49.79,66.59,79.76,7.89,21.01,4.06
Himachal Pradesh,2001,89.13,92.53,41.05,70.49,53.28,14.52,24.09,7.55
Himachal Pradesh,2001,73.69,91.82,46.83,78.48,77.73,3.39,12.73,6.01
Himachal Pradesh,2001,85.32,78.06,27.16,66.12,96.00,2.36,5.05,4.28
Himachal Pradesh,2001,96.83,71.65,65.26,95.91,59.09,8.35,21.05,4.33
Himachal Pradesh,2001,82.63,53.96,15.75,77.56,53.94,12.16,13.36,6.16
Himachal Pradesh,2001,96.65,87.69,46.49,67.85,67.84,7.52,29.01,5.61
Himachal Pradesh,2001,87.05,76.93,30.95,67.00,84.63,13.03,15.30,5.52
Himachal Pradesh,2001,76.27,84.19,46.97,83.60,51.78,10.09,10.07,4.61
Himachal Pradesh,2001,76.82,88.25,42.81,85.81,79.47,9.89,18.98,7.02
